"u_id","u_gender","u_age","u_weekly_utilisation","u_sub_utilisation","u_format_pref","u_genre_pref","u_rating_given","u_other_sub","u_plan","u_occupation","treat","y","tau_xgb","tau_interlogit","tau_hcf"
4,2,4,2.16459024522129,0.67121556163565,1,2,3.95746680501638,1,0,3,0,1,0.434082878753543,0.168821294620362,0.0691692530134772
6,1,3,2.61008652591205,0.493872581479928,2,1,3.26205400085843,0,1,3,1,1,0.133013900369406,0.0683269377750985,0.0639547377366148
8,2,3,2.30716444374332,0.84149328280841,1,6,3.2654651422127,0,1,3,0,1,0.00944031972903758,0.00503132579178189,0.00132371177264457
9,2,2,1.10298501937299,0.517915023525221,3,5,3.10418582954513,1,0,3,1,1,0.860035549849272,0.650451638502526,0.319286463435225
10,2,2,2.76283455155972,0.652228988746431,1,1,3.65394002742949,1,1,3,0,1,0.00550839625066146,0.003375064508225,0.0208870174336999
11,1,4,3.25863407470084,0.194700635190484,2,7,2.54516561538487,0,0,3,1,0,0.73858805000782,0.39942763943149,0.36564452276497
17,1,3,1.49209186306414,0.292866573681476,1,3,2.3340356978754,0,0,4,0,1,0.495047748088837,0.189038901826701,0.287249088379906
25,2,2,2.19476036345797,0.815755548912785,2,1,4.96605050025482,0,0,4,1,1,0.00189235057041515,0.000611126301143239,0.013128753285497
26,2,4,1.96853368336143,0.19937550290406,3,7,2.63415894703337,0,0,4,0,0,0.547593206167221,0.185355345067156,0.349564605636427
29,1,4,1.8910186677554,0.779574718125871,1,6,4.68953936899187,1,1,3,0,1,0.0367835350334644,0.0176616415406424,0.0212436770425407
30,2,2,1.84250506150061,0.708223743947527,1,1,4.05818311278562,0,0,3,0,1,0.0217064697790192,0.0137401014174054,0.0327493261528992
31,2,2,2.46897813292621,0.571669735224818,3,6,3.56805931700175,0,0,3,0,1,0.113606495782733,0.0714752394189486,0.0791757139932634
32,1,3,3.88130366133854,0.530961114696994,2,3,4.0105001410694,1,0,2,0,1,0.0407921890728176,0.0447438364845932,0.0998285846840854
35,1,2,1.88752203272736,0.794172049344685,1,3,4.00491773598895,0,0,4,1,1,0.0113203344808426,0.00197527598198233,0.0178133726888419
36,2,4,1.52253492160351,0.786919869118705,1,2,4.28653649560732,0,1,3,0,1,0.101099375169724,0.0238583833540672,0.0537230869658738
37,1,1,1.1631704500428,0.778264437635303,1,2,3.91715834772757,0,0,1,1,1,0.0541623214667197,0.0108232969627345,0.0879221337171084
47,1,3,2.6681000947016,0.764643179895358,1,1,4.05698979132813,0,1,3,0,1,0.00485743489844026,0.00164095161006228,0.00377243589791572
50,1,1,1.1771868700138,0.775670096910089,3,2,4.324444949976,0,0,1,1,1,0.0628277515643276,0.0112126728540985,0.0883171387938778
51,1,2,2.81249818131791,0.754199387673899,1,2,3.39026704861417,0,1,3,0,1,0.00363797969475854,0.00110553075186393,0.00534075639745466
52,1,6,2.91397875281149,0.626952781591112,3,5,3.97128695025975,0,0,5,1,1,0.0412366995587945,0.0134886095196061,0.0303864113608899
54,2,2,2.74433716085941,0.814732219775767,1,2,2.50055603241642,0,0,3,1,1,0.00426812893419992,0.00477686714465075,0.0182289235884582
59,1,2,2.97892589473769,0.752653908361352,1,7,4.61297594648057,0,0,2,0,1,0.0077865715684311,0.00271111053339512,0.0136884998308621
60,1,2,2.32601890099338,0.745612162753388,2,3,3.82550357719464,0,1,2,0,1,0.00851828508893959,-0.000291984170781578,0.00674669616346528
62,2,3,2.14185265626575,0.646813080916634,1,3,1.85122069790732,1,0,2,0,1,0.389515997841954,0.272146163299082,0.0831298027609019
64,1,2,1.04376297924932,0.633914293245632,1,5,4.13147703852125,0,0,2,0,1,0.429531816393137,0.22185811012715,0.238195670201777
66,2,4,3.37940749240952,0.871643822341207,1,2,3.06253894157625,0,0,2,1,1,0.00309267922420986,0.0023201807947526,0.0086847366455494
68,1,2,4.00540714857434,0.444226183173232,2,7,3.97208766051536,0,0,4,0,1,0.00473373127169907,0.00740465535519752,0.0884603933246232
74,1,2,1.8022106912923,0.768248551112836,1,6,3.82985547905643,1,0,4,1,1,0.0261199919295905,0.00650869836160795,0.0330832049567756
77,2,2,4.44684479005257,0.654213009314579,2,6,4.4565058349301,0,1,2,1,1,0.00111196038778871,0.000282179536764793,0.0165044379638909
82,1,2,4.20180500168364,0.474141095225712,2,6,3.89948399649354,0,1,3,0,1,0.00670370273292065,0.00370935028200525,0.053635993914842
84,1,2,2.41283028459356,0.356866156719106,2,6,4.76101022394814,0,0,2,1,1,0.588921453803778,0.374430828570126,0.291076232113789
90,1,3,2.1120682302556,0.421726567194458,2,2,4.36385387523866,0,0,2,1,1,0.600388586521149,0.400716191484328,0.279153048158491
99,1,4,3.62930642130384,0.608872824028229,1,2,4.5995999782521,0,1,3,0,1,0.0132945077493787,0.00208383066288098,0.0283517923573104
102,1,3,2.80135072015571,0.774594041084096,1,1,3.819643169466,1,0,3,1,1,0.0115355525485938,0.00596872672982229,0.0039329047523437
103,1,2,4.29071761104425,0.693215387622059,2,1,4.24325620587079,0,1,2,1,1,0.000830235563626047,6.45103139741421e-05,0.0143078432707849
108,1,2,3.23209306879229,0.722260099222978,3,1,4.58713785973782,0,1,3,0,1,0.000830446588224731,0.000147270556426604,0.00691894595844855
109,2,4,2.27297858569136,0.650085581615374,2,5,4.79176961061687,0,1,2,1,1,0.0270274793729186,0.039348195196348,0.0344924242426084
114,1,2,3.07588381290822,0.52615855584889,2,5,3.89871007081214,0,1,3,1,1,0.035135256126523,0.0147555221826882,0.0478790727666966
120,1,4,3.03177697322367,0.750642879422608,2,4,3.29034507479235,0,1,3,0,1,0.00192461124970578,0.00108814012232661,0.00647424823721677
121,2,3,1.87530006453102,0.745287144163976,1,3,3.46814470108072,0,0,3,0,1,0.0613669198937714,0.0674691612139203,0.0269879579378417
122,2,3,3.35806603044281,0.896932401330048,2,4,4.11379583615222,0,0,2,1,1,0.000410740303777857,0.000340672259645625,0.000245704960442607
124,1,2,2.4230319993307,0.881523035633655,2,2,4.93816253681776,1,1,3,1,1,-0.000678060445352457,0.00107932822302303,0.00433540056036023
126,1,3,1.79130636278005,0.484795238524693,1,1,2.94756886483962,0,1,3,0,0,0.247021645307541,0.188563550941302,0.17335871479425
133,1,4,2.88943960638051,0.570433299708129,3,4,4.51332378265189,0,1,3,1,1,-0.00113644450902939,0.00277218192136397,0.0423226902589582
135,2,3,2.69224959660011,0.813574943514792,1,3,4.62813903473445,0,0,3,0,1,0.00250673829577863,0.00542180716957985,0.00303552043227972
136,2,3,2.07935164544728,0.802005625458094,1,7,3.9078661787079,0,0,2,1,1,0.0840492034330964,0.0325073124594892,0.0185209892333671
138,1,1,2.15862680094248,0.862988388472803,2,6,4.87087367267538,0,0,1,0,1,9.39174205996096e-05,0.000604928876013489,0.0162578261903477
140,1,2,2.68317304503443,0.785087174811123,1,6,4.05472485546206,0,0,4,0,1,0.00172532552096527,0.000765194451541329,0.0040417930655531
142,1,3,3.31362816402429,0.716292656100422,1,5,4.40208776160136,0,1,2,1,1,0.00450051145162433,0.00222166489132969,0.0067979046715468
144,1,6,2.65276056341859,0.0817674688227051,2,2,3.50862994570731,1,0,5,0,1,0.0485600233078003,0.222558701098979,0.344516453024815
149,2,3,1.81496995884466,0.581123339981291,2,3,2.84460542096147,0,0,3,0,0,0.232263952493668,0.372066753571266,0.212887604338227
150,1,6,2.26051213929977,0.91113504521021,1,1,4.10946401023785,1,1,5,0,1,0.000178723479621112,0.000259262549500261,0.00497577539323225
151,2,1,1.62172764535753,0.316142963306495,2,7,3.81531322209417,0,1,3,0,1,0.124607503414154,0.23560360169185,0.279500043064784
154,2,3,2.82407918995141,0.180381294080112,2,6,4.0628013644205,0,0,2,0,0,0.526150941848755,0.481083709331495,0.413994228199218
157,1,3,2.13340413136929,0.798603678456973,2,4,4.39891666119502,0,1,2,1,1,0.010297121363692,0.00194352065495051,0.0145458361327994
158,2,3,2.52598336228697,0.94731979136085,1,6,4.60507700715654,0,1,4,0,1,0.000138836476253346,0.000159065973374894,0.000869538993797055
165,2,4,0.827191953984707,0.499856342069683,3,5,3.91214037607651,1,1,3,1,1,0.169253945350647,0.434548722522701,0.281947925196828
168,2,5,2.01812817418949,0.717717304344943,2,1,3.79087177937325,0,0,4,0,1,0.0119876858079806,0.0104363183064504,0.0278998726818911
179,2,2,1.92906230774782,0.920705462101929,1,5,4.21540580016745,1,0,3,1,1,0.00427024863893166,0.00411587392112356,0.0115914685497988
182,1,3,0.688655634408895,0.711417282249064,3,2,4.8734505340413,0,1,3,1,0,-0.000795178115367889,0.0821090791711208,0.112193075913974
189,2,4,2.51712238833542,0.757298802023136,3,4,3.02846115013099,0,0,3,1,1,0.0117834820412099,0.00856067178534314,0.00901439795930104
