"u_id","u_gender","u_age","u_weekly_utilisation","u_sub_utilisation","u_format_pref","u_genre_pref","u_rating_given","u_other_sub","u_plan","u_occupation","treat","y","tau_interlogit"
1,"2","2",3.5604622951676,0.391780306948407,"1","6",4.60792721789554,"1","1","3",1,1,0.0436408692139063
2,"1","3",2.52698372567651,0.766248783559816,"2","2",4.75774282837986,"0","0","3",1,1,0.0273096006089477
3,"1","2",2.69121831631214,0.531659922372937,"2","2",3.92681536559303,"1","1","3",0,1,0.0721337166687638
4,"2","4",2.16459024522129,0.67121556163565,"1","2",3.95746680501638,"1","0","3",0,1,0.184101490173393
5,"2","3",2.53358507066944,0.721090418726382,"2","6",4.84973832547842,"0","0","3",0,1,0.0421953019015709
6,"1","3",2.61008652591205,0.493872581479928,"2","1",3.26205400085843,"0","1","3",1,1,0.0699635390844495
7,"2","3",2.25715463164859,0.509259501659909,"1","4",4.2952257117855,"1","1","3",0,1,0.0718935763034775
8,"2","3",2.30716444374332,0.84149328280841,"1","6",3.2654651422127,"0","1","3",0,1,0.00722552293931089
9,"2","2",1.10298501937299,0.517915023525221,"3","5",3.10418582954513,"1","0","3",1,1,0.61374077049165
10,"2","2",2.76283455155972,0.652228988746431,"1","1",3.65394002742949,"1","1","3",0,1,0.00454848917562489
11,"1","4",3.25863407470084,0.194700635190484,"2","7",2.54516561538487,"0","0","3",1,0,0.370912598045165
12,"1","2",3.64411335209165,0.82655062753429,"1","2",3.30114891557512,"0","0","2",1,1,0.000822681644788936
13,"1","3",2.88231984620335,0.835272701501027,"2","2",4.98926474839439,"0","1","4",1,1,0.000498961706252854
14,"1","2",2.20118516396934,0.657344684214209,"1","2",4.64112583587466,"1","1","3",1,1,0.022792407741305
15,"1","2",1.10274733327024,0.856441290846176,"2","2",1.97869677119986,"0","0","2",0,1,0.0771196176002654
16,"2","2",2.31814141222635,0.832364749360732,"2","3",4.91699994875872,"0","1","4",0,1,0.00020777552526241
17,"1","3",1.49209186306414,0.292866573681476,"1","3",2.3340356978754,"0","0","4",0,1,0.151955838227578
18,"1","3",3.21668030329447,0.969261492234918,"1","7",4.73366467613813,"0","0","3",0,1,0.000583889638317348
19,"2","2",2.86580367283021,0.825295902388378,"2","2",3.60410580960858,"0","1","2",0,1,0.00140414558704982
20,"2","1",2.09662971704602,0.587727039523146,"2","4",4.03644626804916,"0","0","3",1,1,0.0293548121298185
21,"1","1",2.47353621761205,0.711329503310588,"1","6",4.96759815271143,"0","0","1",1,1,0.00225914303487418
22,"1","2",2.72689126221657,0.559121887733632,"2","1",1.45726278974085,"0","1","4",1,1,0.00544970276783985
23,"2","4",2.28486851750856,0.888148210483299,"1","2",4.63975439774534,"1","1","3",1,1,0.00573445465802125
24,"2","2",2.06991942474474,0.927976091302684,"2","2",3.59011893844903,"0","0","2",1,1,0.00560264959497447
25,"2","2",2.19476036345797,0.815755548912785,"2","1",4.96605050025482,"0","0","4",1,1,0.000857922563063385
26,"2","4",1.96853368336143,0.19937550290406,"3","7",2.63415894703337,"0","0","4",0,0,0.158882791586671
27,"2","1",1.49493436528641,0.168107469514981,"2","1",4.74408256448856,"0","0","1",0,0,0.620011940348081
28,"1","3",3.89436350819245,0.375166764500737,"3","3",4.73476199036173,"0","1","2",1,1,-0.0461057494941953
29,"1","4",1.8910186677554,0.779574718125871,"1","6",4.68953936899187,"1","1","3",0,1,0.0259837916128725
30,"2","2",1.84250506150061,0.708223743947527,"1","1",4.05818311278562,"0","0","3",0,1,0.0159034498548533
31,"2","2",2.46897813292621,0.571669735224818,"3","6",3.56805931700175,"0","0","3",0,1,0.0998176544039253
32,"1","3",3.88130366133854,0.530961114696994,"2","3",4.0105001410694,"1","0","2",0,1,0.0422862354272179
33,"1","3",2.24898282815815,0.677669302086937,"2","7",4.66301430743421,"1","1","3",1,1,0.057656579023355
34,"2","1",1.34694663329697,0.579112480991066,"1","4",4.10215133625127,"0","1","1",1,1,0.00864945370224668
35,"1","2",1.88752203272736,0.794172049344685,"1","3",4.00491773598895,"0","0","4",1,1,0.00259216774906401
36,"2","4",1.52253492160351,0.786919869118705,"1","2",4.28653649560732,"0","1","3",0,1,0.0332672973802826
37,"1","1",1.1631704500428,0.778264437635303,"1","2",3.91715834772757,"0","0","1",1,1,0.0150681402660572
38,"3","5",2.85959152577022,0.876145603968143,"1","2",4.54495027924497,"0","0","2",0,1,0.00412033266131229
39,"2","4",2.19057146084462,0.868983201734614,"1","2",4.12095415929234,"0","0","3",1,1,0.0158917495437021
40,"1","2",3.53289729177858,0.22036569951831,"3","7",4.51864318145326,"0","1","4",0,1,0.0167776063406935
41,"2","3",1.8185751480716,0.952378013615848,"2","7",4.12545750994087,"0","1","2",1,1,0.00460013466624487
42,"2","3",2.78327378076686,0.68046990193654,"1","5",4.33640803386087,"0","0","2",1,1,0.0263692800805214
43,"1","3",1.91386067972547,0.57928325920529,"1","7",3.87583489285624,"0","0","4",1,1,0.0953612377416301
44,"3","4",3.19737988488713,0.135518712281759,"2","3",3.98268266058022,"0","0","3",1,0,0.259455686913019
45,"2","3",1.54059306139441,0.979802009130285,"2","2",3.71892714708542,"1","0","2",1,1,0.0290802057898876
46,"2","3",3.95603625527244,0.720927963626312,"3","2",3.27901307436295,"0","1","4",1,1,0.00028307811341477
47,"1","3",2.6681000947016,0.764643179895358,"1","1",4.05698979132813,"0","1","3",0,1,0.00203149824222915
48,"2","2",3.82526783581757,0.928836282963956,"1","1",3.00077729215267,"0","0","3",1,1,0.0000859764563250209
49,"2","3",2.53201777932658,0.499805631242417,"2","4",4.79140327052559,"1","0","4",0,1,0.045517203012576
50,"1","1",1.1771868700138,0.775670096910089,"3","2",4.324444949976,"0","0","1",1,1,0.0166937650459633
51,"1","2",2.81249818131791,0.754199387673899,"1","2",3.39026704861417,"0","1","3",0,1,0.00235012093024112
52,"1","6",2.91397875281149,0.626952781591112,"3","5",3.97128695025975,"0","0","5",1,1,0.0233251373267956
53,"2","3",2.80598217130772,0.515894210823454,"2","6",3.23474272791131,"0","1","2",1,1,0.120827933826071
54,"2","2",2.74433716085941,0.814732219775767,"1","2",2.50055603241642,"0","0","3",1,1,0.00671711576222878
55,"2","3",2.97037116419899,0.72102515586401,"1","1",3.90710862382832,"1","1","2",1,1,0.00335134675194348
56,"1","2",1.0929293148858,0.68914239919584,"3","3",3.19824649418217,"0","0","3",1,1,0.0972588593850343
57,"2","2",3.30626298385469,0.259121551817859,"1","1",2.8727789923047,"0","1","4",1,1,0.0231841076974478
58,"1","2",1.90399649582875,0.862391655451256,"3","5",3.19719200619813,"0","1","2",0,1,0.00246321451950693
59,"1","2",2.97892589473769,0.752653908361352,"1","7",4.61297594648057,"0","0","2",0,1,0.00302014799293426
60,"1","2",2.32601890099338,0.745612162753388,"2","3",3.82550357719464,"0","1","2",0,1,0.00116988293368847
61,"1","3",2.68419620609271,0.670512431266472,"1","4",3.52863946515808,"1","0","2",1,1,0.0171768735186829
62,"2","3",2.14185265626575,0.646813080916634,"1","3",1.85122069790732,"1","0","2",0,1,0.226237483540274
63,"1","2",3.10293624082775,0.566176269809169,"1","7",4.27432387538445,"0","0","3",1,1,0.0228876486340509
64,"1","2",1.04376297924932,0.633914293245632,"1","5",4.13147703852125,"0","0","2",0,1,0.196314948592494
65,"2","1",3.66475763333135,0.564560987135354,"1","2",4.09823844801353,"0","1","2",0,1,0.00244301764446908
66,"2","4",3.37940749240952,0.871643822341207,"1","2",3.06253894157625,"0","0","2",1,1,0.00283453641864362
67,"1","2",2.09313214373177,0.676913171831444,"2","7",4.69621891528353,"1","0","3",1,1,0.0689620253481698
68,"1","2",4.00540714857434,0.444226183173232,"2","7",3.97208766051536,"0","0","4",0,1,0.0087917548533698
69,"1","3",2.73823764659596,0.0854151072975344,"2","7",3.94118482687248,"0","0","4",0,0,0.285409522421804
70,"2","3",2.5068740848253,0.647000154137045,"2","1",4.45518798515011,"1","1","3",0,1,0.0228516584121053
71,"2","3",2.35910205229988,0.441785220537361,"2","6",2.14234671518533,"0","0","3",1,1,0.616294811676728
72,"1","2",2.74531466792712,0.964448243950041,"3","1",3.86350770858365,"0","0","4",1,1,0.000071731612515058
73,"2","2",2.37210500673037,0.907386395383622,"2","7",3.42374692760468,"0","0","2",1,1,0.0038989852540432
74,"1","2",1.8022106912923,0.768248551112836,"1","6",3.82985547905643,"1","0","4",1,1,0.00970309724626495
75,"1","3",1.91904983257577,0.553926898073738,"1","1",4.63065240473364,"1","1","3",1,1,0.0811352599074552
76,"1","2",2.51077727368033,0.781798190193735,"1","6",4.6118923399909,"1","0","2",1,1,0.00714522749432733
77,"2","2",4.44684479005257,0.654213009314579,"2","6",4.4565058349301,"0","1","2",1,1,0.00058686983666234
78,"1","5",3.13777163963057,0.055982008016973,"1","6",2.18738328334141,"0","1","4",1,1,0.236802016194121
79,"1","3",1.53538132591967,0.666971197744754,"2","2",4.59819196626331,"0","1","3",1,1,0.0920662055272491
80,"1","3",2.84702966417482,0.342133334211809,"2","4",4.82474576454699,"1","0","2",1,1,0.313272616529841
81,"1","1",2.05247886827425,0.622878913158186,"3","6",2.86203846419192,"0","0","3",0,1,0.0852704236443351
82,"1","2",4.20180500168364,0.474141095225712,"2","6",3.89948399649354,"0","1","3",0,1,0.00722655184468501
83,"3","3",2.51611306758297,0.803899008069727,"2","6",2.62060048367343,"0","0","3",1,1,0.0364579292447769
84,"1","2",2.41283028459356,0.356866156719106,"2","6",4.76101022394814,"0","0","2",1,1,0.397937457082219
85,"2","3",3.93722182126956,0.739490572625599,"1","6",3.58366512039539,"0","0","2",1,1,0.00318935542213639
86,"1","3",2.57545043466022,0.0337444100870317,"1","2",2.38659426691687,"0","1","4",1,1,0.0251662591439532
87,"2","4",1.64804235417526,0.365334466511241,"2","7",4.08581297121823,"0","1","4",0,0,0.287411717056497
88,"2","3",1.72291217851995,0.688871960115145,"2","1",3.41901303853595,"0","0","2",0,0,0.0962667022163279
89,"1","3",3.91375741376976,0.153824259940599,"3","3",2.85778468147249,"0","1","2",1,0,-0.185607527080258
90,"1","3",2.1120682302556,0.421726567194458,"2","2",4.36385387523866,"0","0","2",1,1,0.334821421537124
91,"1","2",1.00087347029493,0.766695673702443,"1","4",2.35227834484198,"0","0","2",1,1,0.0328876274459028
92,"1","4",3.15712765482557,0.562190855671376,"1","2",4.27059115659349,"1","1","4",1,1,0.0116216699361147
93,"2","2",2.1642979033611,0.806127615616931,"1","1",2.90980561306159,"0","0","4",1,1,0.00124706080243686
94,"2","2",3.99342020570517,0.250052872162788,"1","6",4.68670573729897,"0","0","3",0,1,0.143307063565363
95,"2","2",2.89104338206084,0.434242535231416,"1","6",2.97449750672542,"0","1","2",0,0,0.0716584440784477
96,"2","1",3.13649647486438,0.709241195706059,"2","5",3.94659306731529,"0","1","2",0,1,0.00179174389031622
97,"1","3",2.08516408634701,0.503925105110061,"2","7",4.10460850925816,"0","0","4",0,1,0.197679024269206
98,"2","2",2.93110665521254,0.394201306816835,"1","3",4.10007848211241,"0","1","3",0,1,0.0195531549657628
99,"1","4",3.62930642130384,0.608872824028229,"1","2",4.5995999782521,"0","1","3",0,1,0.00542080043464577
100,"1","3",3.11517218326777,0.731120455624295,"1","1",3.57299007168397,"0","0","2",1,1,0.00395503939141184
101,"2","3",2.35646859991155,0.503949737611011,"1","1",4.71611155962322,"1","1","2",0,1,0.066756961306436
102,"1","3",2.80135072015571,0.774594041084096,"1","1",3.819643169466,"1","0","3",1,1,0.0063674092146927
103,"1","2",4.29071761104425,0.693215387622059,"2","1",4.24325620587079,"0","1","2",1,1,0.000142527945632298
104,"1","2",2.45451841020418,0.830147055307671,"2","3",2.622452341985,"0","0","3",0,1,0.00699683585367838
105,"2","6",1.81489984513827,0.822045928364014,"2","1",4.66633436278768,"1","0","5",1,1,0.0110270769924449
106,"2","1",1.87660960898031,0.79210785803541,"2","2",3.93951897886957,"0","1","2",0,1,0.00644805872309751
107,"3","5",1.57153953894969,0.354201783400301,"2","6",3.54064846933732,"0","1","4",0,0,0.485156433980174
108,"1","2",3.23209306879229,0.722260099222978,"3","1",4.58713785973782,"0","1","3",0,1,0.000398155690635282
109,"2","4",2.27297858569136,0.650085581615374,"2","5",4.79176961061687,"0","1","2",1,1,0.0400126534345552
110,"1","2",3.28379449530374,0.492948145831154,"1","5",3.9555001147508,"0","1","3",1,1,0.0128610603008954
111,"1","4",1.62671895813617,0.91959394671145,"2","1",3.36123306765084,"1","1","3",0,1,0.00725105011063676
112,"2","1",3.6628768333762,0.538878314559099,"2","5",3.97008743165107,"0","0","1",0,1,0.00467848613639033
113,"1","3",2.47394151340278,0.690006729163672,"2","3",4.61665496944203,"0","0","3",0,1,0.0388248509885142
114,"1","2",3.07588381290822,0.52615855584889,"2","5",3.89871007081214,"0","1","3",1,1,0.0194071430024918
115,"1","4",1.31398898772246,0.928812798557009,"1","6",3.09431029528332,"0","1","4",1,1,0.00375693907231123
116,"2","6",1.32445164142032,0.424813807064089,"1","7",3.48902268538208,"1","0","5",0,0,0.7211005194388
117,"1","3",3.24997251021959,0.587214637497856,"1","3",3.28450551161231,"0","1","3",1,1,0.00648060852573717
118,"2","4",2.11982357371758,0.353011868670297,"2","5",4.93801080793232,"0","0","2",1,0,0.427973642500616
119,"2","2",1.54709420487171,0.274918183090561,"2","3",4.1961431864396,"0","0","4",1,1,0.206425819765535
120,"1","4",3.03177697322367,0.750642879422608,"2","4",3.29034507479235,"0","1","3",0,1,0.00212788204098968
121,"2","3",1.87530006453102,0.745287144163976,"1","3",3.46814470108072,"0","0","3",0,1,0.0614612754333416
122,"2","3",3.35806603044281,0.896932401330048,"2","4",4.11379583615222,"0","0","2",1,1,0.000493119318179525
123,"1","3",1.48435044085966,0.644903121853615,"2","4",3.58739006540001,"1","1","3",0,1,0.0982519099414948
124,"1","2",2.4230319993307,0.881523035633655,"2","2",4.93816253681776,"1","1","3",1,1,0.00208620617357791
125,"2","3",1.52531194814227,0.710396294184906,"1","3",3.26801159125143,"0","1","4",1,1,0.00954461904638304
126,"1","3",1.79130636278005,0.484795238524693,"1","1",2.94756886483962,"0","1","3",0,0,0.169689259473713
127,"1","2",1.25133291450268,0.480761088891023,"1","6",3.32944124099602,"0","1","3",0,1,0.317970697883543
128,"1","2",2.4217297082241,0.787430140300425,"1","5",4.60894247473638,"0","1","2",1,1,0.00158741762967762
129,"2","1",1.33706762894863,0.669256848423426,"1","2",3.38578520701025,"0","1","1",1,1,0.0187188121987545
130,"1","5",1.35017897929358,0.55602849115946,"2","3",2.73051696318875,"0","1","3",0,0,0.0105423602346322
131,"2","1",1.97979669961339,0.469062755769999,"3","1",2.3041063886663,"0","1","1",1,1,0.0292198900579634
132,"1","3",1.94938301742862,0.338504454106752,"2","7",4.83391283006339,"1","0","2",1,1,0.623011865926924
133,"1","4",2.88943960638051,0.570433299708129,"3","4",4.51332378265189,"0","1","3",1,1,0.0069085922111598
134,"2","3",1.74251255487289,0.386103822358346,"2","4",3.15962068273082,"1","1","2",1,0,0.4767916216056
135,"2","3",2.69224959660011,0.813574943514792,"1","3",4.62813903473445,"0","0","3",0,1,0.00590745583841834
136,"2","3",2.07935164544728,0.802005625458094,"1","7",3.9078661787079,"0","0","2",1,1,0.0276295191605865
137,"1","4",1.73240144716074,0.848245476899744,"2","5",4.41171294309601,"0","1","3",0,1,0.0145102360172169
138,"1","1",2.15862680094248,0.862988388472803,"2","6",4.87087367267538,"0","0","1",0,1,0.00117640393885476
139,"1","3",3.02657595815031,0.43619834782095,"1","4",2.65985938187039,"0","0","3",1,1,0.109014578874243
140,"1","2",2.68317304503443,0.785087174811123,"1","6",4.05472485546206,"0","0","4",0,1,0.00125118612413555
141,"2","2",3.73299699875111,0.534359679083682,"2","5",3.44677277713781,"0","0","2",1,1,0.0214333796653746
142,"1","3",3.31362816402429,0.716292656100422,"1","5",4.40208776160136,"0","1","2",1,1,0.00231644967243194
143,"2","3",2.38090324961812,0.93939422328451,"2","4",3.89818882701486,"0","1","2",1,1,0.000593608173787508
144,"1","6",2.65276056341859,0.0817674688227051,"2","2",3.50862994570731,"1","0","5",0,1,0.199684150763003
145,"2","3",3.53589090643189,0.969965426752766,"1","7",4.56999461852343,"1","0","3",1,1,0.000592734048305732
146,"2","1",2.44699573699152,0.819909834925347,"2","6",4.47750856278295,"0","0","1",1,1,0.00147790434816675
147,"1","2",1.93898423604793,0.387241714205881,"2","2",3.57964794208314,"0","1","2",0,1,0.100711169677478
148,"2","2",3.32269827016628,0.552500532617344,"1","7",2.07739117449942,"0","1","4",0,1,0.00398842340500549
149,"2","3",1.81496995884466,0.581123339981291,"2","3",2.84460542096147,"0","0","3",0,0,0.317254628311251
150,"1","6",2.26051213929977,0.91113504521021,"1","1",4.10946401023785,"1","1","5",0,1,0.0005791987706385
151,"2","1",1.62172764535753,0.316142963306495,"2","7",3.81531322209417,"0","1","3",0,1,0.382665806509929
152,"2","3",3.64012935042195,0.530906586567036,"2","5",3.32139465744119,"1","0","3",1,1,0.111677636833184
153,"1","3",1.95604426703111,0.460444551930175,"1","2",4.28932908360755,"0","1","4",0,1,0.0640915299938672
154,"2","3",2.82407918995141,0.180381294080112,"2","6",4.0628013644205,"0","0","2",0,0,0.421061594103673
155,"1","3",2.17742003361802,0.526902954253602,"2","2",4.71568887389433,"0","0","2",1,1,0.278571565156894
156,"1","3",3.90046542471266,0.44185265213025,"1","1",2.9839316524599,"0","0","3",0,1,0.0334054548087849
157,"1","3",2.13340413136929,0.798603678456973,"2","4",4.39891666119502,"0","1","2",1,1,0.0028637233761124
158,"2","3",2.52598336228697,0.94731979136085,"1","6",4.60507700715654,"0","1","4",0,1,0.000270785676753871
159,"2","6",3.00547377813475,0.390528374050922,"2","4",2.96118121089323,"0","0","5",0,1,0.127280907562641
160,"2","3",3.39182712994161,0.700899972586731,"1","5",3.78994227170328,"1","0","3",0,1,0.0162151651064293
161,"1","4",2.28909413856277,0.640932795026191,"1","6",3.75450258479485,"0","0","3",0,0,0.123002212197257
162,"2","2",2.16069084989951,0.831542398810411,"2","7",4.90504463612492,"0","1","4",1,1,0.000809262171554304
163,"2","2",4.52003944887432,0.897387312223001,"1","7",4.32874400194802,"1","0","3",1,1,0.000108306177888595
164,"2","2",2.11402818707158,0.476956306341228,"1","7",3.26111397929045,"0","1","3",0,1,0.13410043992123
