"u_id","u_gender","u_age","u_weekly_utilisation","u_sub_utilisation","u_format_pref","u_genre_pref","u_rating_given","u_other_sub","u_plan","u_occupation","baseline_score","treated","treatment_score","total_score","resub"
1,2,2,5,0.12,1,6,4.18,1,1,4,966.694874051873,1,404.585075877376,1371.27994992925,1
2,1,3,5,0.68,2,2,4.51,1,1,3,835.994874051873,0,0,835.994874051873,1
3,1,2,6,0.28,2,2,2.49,0,1,3,912.994874051873,0,0,912.994874051873,1
4,2,4,0,0.51,1,2,2.56,0,2,3,346.394874051873,0,0,346.394874051873,0
5,1,3,5,0.6,2,6,4.71,1,2,2,885.594874051873,1,142.840388826399,1028.43526287827,1
6,1,3,0,0.23,2,1,1.1,1,2,3,161.994874051873,1,132.690743127113,294.685617178986,0
7,2,3,3,0.25,1,4,3.41,1,1,3,675.094874051873,0,0,675.094874051873,1
8,2,3,3,0.81,1,6,1.11,0,2,4,717.894874051873,0,0,717.894874051873,1
9,1,2,6,0.26,3,5,0.86,0,1,4,888.894874051873,1,324.730477022223,1213.6253510741,1
10,2,2,0,0.48,1,1,1.85,1,2,4,451.994874051873,0,0,451.994874051873,0
11,1,4,7,0.02,2,7,0.31,1,2,3,820.194874051873,1,167.184038319362,987.378912371235,1
12,1,2,0,0.78,1,2,1.17,1,2,4,376.994874051873,0,0,376.994874051873,0
13,1,3,0,0.8,2,2,4.98,1,2,3,350.094874051873,0,0,350.094874051873,0
14,1,2,3,0.49,1,2,4.25,0,1,2,783.294874051873,0,0,783.294874051873,0
15,1,2,4,0.83,2,2,0.08,0,2,4,743.994874051873,1,213.705568775664,957.700442827537,1
16,2,2,1,0.79,2,3,4.84,0,1,2,521.794874051873,1,191.802032273614,713.596906325487,1
17,1,3,2,0.06,1,3,0.19,1,1,2,294.394874051873,0,0,294.394874051873,0
18,1,3,6,0.97,1,7,4.46,1,1,4,1146.19487405187,1,313.153101590359,1459.34797564223,1
19,2,2,4,0.78,2,2,1.75,1,1,4,715.994874051873,0,0,715.994874051873,1
20,2,1,2,0.37,2,4,2.76,1,1,1,563.194874051873,0,0,563.194874051873,1
21,1,1,1,0.58,1,6,4.94,1,1,1,604.494874051873,1,372.893208894155,977.388082946028,1
22,1,2,6,0.32,2,1,0.01,1,1,3,819.194874051873,1,284.248907357667,1103.44378140954,1
23,1,4,1,0.87,1,2,4.25,1,2,3,537.694874051873,1,117.840482284414,655.535356336287,1
24,2,2,7,0.93,2,2,1.72,1,2,4,1128.99487405187,0,0,1128.99487405187,1
25,2,2,7,0.77,2,1,4.94,1,1,4,1299.19487405187,0,0,1299.19487405187,1
